nm	002 Rose Pink	003 Lavender Tint	004 Medium Bastard Amber	007 Pale Yellow	008 Dark Salmon	009 Pale Amber Gold	010 Medium Yellow	013 Straw Tint	015 Deep Straw	017 Surprise Peach
400.0	6.538E-1	8.071E-1	5.006E-1	5.667E-1	1.679E-1	4.149E-1	2.4E-4	3.083E-1	8.4E-4	1.633E-1
405.0	6.532E-1	8.16E-1	4.861E-1	5.254E-1	1.677E-1	4.092E-1	1.3E-4	3.02E-1	4.1E-4	1.599E-1
410.0	6.766E-1	8.176E-1	4.741E-1	4.937E-1	1.696E-1	3.984E-1	1E-4	2.918E-1	1.8E-4	1.531E-1
415.0	7.02E-1	8.231E-1	4.614E-1	4.812E-1	1.729E-1	3.921E-1	1E-4	2.84E-1	1.3E-4	1.437E-1
420.0	7.024E-1	8.238E-1	4.444E-1	4.635E-1	1.729E-1	3.918E-1	1.1E-4	2.854E-1	1E-4	1.319E-1
425.0	6.866E-1	8.222E-1	4.308E-1	4.464E-1	1.7E-1	3.936E-1	1E-4	2.931E-1	1E-4	1.197E-1
430.0	6.799E-1	8.272E-1	4.274E-1	4.414E-1	1.665E-1	3.893E-1	1E-4	2.967E-1	1E-4	1.077E-1
435.0	6.909E-1	8.401E-1	4.281E-1	4.466E-1	1.608E-1	3.782E-1	1E-4	2.919E-1	1E-4	9.59E-2
440.0	7.137E-1	8.454E-1	4.277E-1	4.584E-1	1.52E-1	3.693E-1	1E-4	2.853E-1	1E-4	8.509E-2
445.0	7.228E-1	8.278E-1	4.232E-1	4.769E-1	1.406E-1	3.644E-1	1.3E-4	2.837E-1	1.2E-4	7.505E-2
450.0	7.035E-1	8.173E-1	4.257E-1	5.049E-1	1.284E-1	3.646E-1	1.5E-4	2.899E-1	1.8E-4	6.638E-2
455.0	6.713E-1	8.248E-1	4.399E-1	5.347E-1	1.157E-1	3.714E-1	2.2E-4	3.011E-1	3E-4	5.918E-2
460.0	6.416E-1	8.452E-1	4.606E-1	5.696E-1	1.031E-1	3.829E-1	4.6E-4	3.118E-1	6.6E-4	5.327E-2
465.0	6.183E-1	8.483E-1	4.742E-1	6.136E-1	9.219E-2	3.968E-1	1.5E-3	3.203E-1	1.73E-3	4.876E-2
470.0	5.993E-1	8.292E-1	4.803E-1	6.78E-1	8.329E-2	4.153E-1	7.32E-3	3.297E-1	5.1E-3	4.648E-2
475.0	5.716E-1	8.063E-1	4.853E-1	7.419E-1	7.566E-2	4.356E-1	3.554E-2	3.458E-1	1.415E-2	4.687E-2
480.0	5.329E-1	8.022E-1	4.946E-1	7.777E-1	6.923E-2	4.568E-1	1.247E-1	3.693E-1	3.151E-2	4.937E-2
485.0	4.872E-1	8.162E-1	5.067E-1	7.864E-1	6.453E-2	4.813E-1	2.909E-1	4.006E-1	5.464E-2	5.259E-2
